1,比利时甲级联赛 ,2017-03-12 21:30,真特 vs KV 梅赫伦 ,-4262,36921,-3000,0
1,俄罗斯超级联赛 ,2017-03-12 21:30,莫斯科斯巴达 vs 安郅马哈奇卡拉,-102833,-3000,0,0
1,意大利职业联赛 1C,2017-03-12 21:30,塔雷托 vs 阿克拉加斯,303,-50,0,0
1,意大利职业联赛 1C,2017-03-12 21:30,梅尔菲 vs 卡坦萨罗,1000,0,-269,0
1,意大利职业联赛 1B,2017-03-12 21:30,圣贝内代托 vs 巴萨诺 55  ,0,0,0,872
1,荷兰甲级联赛,2017-03-12 21:30,罗达 vs 格罗宁根,17450,0,0,0
1,比利时甲级联赛 ,2017-03-12 21:30,安德莱赫特 vs 华斯兰德贝弗伦,9202,1000,0,0
1,比利时甲级联赛 ,2017-03-12 21:30,标准列日 vs KV 奥斯坦德,-24448,0,-300,0
1,印度I-联赛,2017-03-12 21:35,金奈市 vs 东孟加拉,1000,0,0,0
1,意大利甲级联赛,2017-03-12 22:00,国际米兰 vs 亚特兰大,-179769,0,0,0
1,意大利甲级联赛,2017-03-12 22:00,切沃 vs 恩波利,932490,11691,0,0
1,意大利甲级联赛,2017-03-12 22:00,佩斯卡拉 vs 乌迪内斯,81578,-20970,-18833,0
1,意大利甲级联赛,2017-03-12 22:00,那不勒斯 vs 克罗托内,-472964,-24194,900,1000
1,意大利甲级联赛,2017-03-12 22:00,佛罗伦萨 vs 卡利亚里,482371,-78157,0,0
1,意大利乙级联赛,2017-03-12 22:00,特拉纳 vs 特腊帕尼,-63854,0,2000,0
1,意大利乙级联赛,2017-03-12 22:00,诺瓦拉 vs 普罗维切利,-60847,0,0,0
1,英格兰足总杯 ,2017-03-12 22:00,托特纳姆热刺 vs 米尔沃尔,81194,-125824,10900,0
1,瑞士甲级联赛,2017-03-12 22:00,塞维特 vs 韦尔 1900,4391,0,3000,0
1,克罗地亚甲级联赛,2017-03-12 22:00,施巴利亚  vs 伊斯特拉 1961,0,276,0,0
1,德国北部联赛 ,2017-03-12 22:00,埃格斯托夫 vs VfB 奥尔登堡,8297,0,0,0
1,法国甲级联赛,2017-03-12 22:00,圣埃蒂安 vs FC 梅斯,-129552,35896,0,0
1,瑞士甲级联赛,2017-03-12 22:00,温特图尔 vs 纳沙泰尔,-75788,0,-2699,0
1,塞浦路斯甲级联赛,2017-03-12 22:00,波勒米迪奥 vs 阿奇纳,-6826,2200,0,0
1,意大利甲级联赛 特别,2017-03-12 22:00,佩斯卡拉 角球 vs 乌迪内斯 角球,3500,0,0,0
1,意大利甲级联赛 特别,2017-03-12 22:00,国际米兰 角球 vs 亚特兰大 角球,4600,0,0,0
1,德国甲级联赛 ,2017-03-12 22:30,沙尔克 vs 奥格斯堡,-193123,7451,-100,0
1,捷克甲级联赛,2017-03-12 22:30,博雷斯拉夫 vs 布拉格斯巴达,0,15266,0,0
1,波兰超级联赛 ,2017-03-12 22:30,戈尼克莱茨纳    vs 什切青波贡,2052,0,-2300,0
1,瑞士超级联赛,2017-03-12 23:00,锡昂 vs 巴塞尔,113444,-182050,0,0
1,瑞典杯,2017-03-12 23:00,埃尔夫斯堡 vs 布诺马博亚纳,-34600,0,0,0
1,丹麦超级联赛 ,2017-03-12 23:00,霍森斯 vs 布隆德比,-15423,0,0,0
1,西班牙乙级联赛,2017-03-12 23:00,西维尔体育会 vs 塔拉戈纳,0,0,0,-6238
1,塞浦路斯甲级联赛,2017-03-12 23:00,卡托克匹亚斯 vs 阿拉季普埃尔米斯,3125,7500,94,0
1,西班牙甲级联赛,2017-03-12 23:15,拉科鲁尼亚 vs 巴塞罗那,-1047808,-3801,-1000,1000
1,希腊超级联赛,2017-03-12 23:15,普拉坦亚斯 vs 维瑞亚,-5300,-8000,-3450,1000
1,希腊超级联赛,2017-03-12 23:15,奥林匹亚科斯 vs 阿特罗米托斯,9354,0,0,0
1,西班牙甲级联赛 特别,2017-03-12 23:15,拉科鲁尼亚 角球 vs 巴塞罗那 角球,16000,0,0,0
1,奧地利超级联赛 ,2017-03-12 23:30,格拉兹风暴 vs 维也纳迅速   ,8978,-9507,0,0
1,保加利亚甲级联赛,2017-03-12 23:30,格纳火车头 vs 卢多格德斯,-19950,0,0,0
1,土耳其甲级联赛,2017-03-12 23:30,阿达纳 vs 马尼萨体育,-4593,-10102,0,0
1,意大利职业联赛 1B,2017-03-12 23:30,威尼斯 vs 摩德纳,0,-2000,0,0
1,意大利职业联赛 1B,2017-03-12 23:30,帕多瓦 vs 圣阿尔坎杰洛,1099,0,0,0
1,荷兰甲级联赛,2017-03-12 23:45,阿贾克斯 vs 特温特,302526,9054,32121,0
1,斯洛文尼亚甲级联赛,2017-03-12 23:55,多明萨尔 vs 卢布尔雅那奥林匹亚,8199,0,1349,0
1,英格兰超级联赛,2017-03-13 00:00,利物浦 vs 伯恩利,758449,-26164,17480,1000
1,英格兰超级联赛 特别,2017-03-13 00:00,利物浦 角球 vs 伯恩利 角球,20,0,0,0
1,法国甲级联赛,2017-03-13 00:00,里昂 vs 图卢兹,-387422,-114194,-1000,0
1,俄罗斯超级联赛 ,2017-03-13 00:00,罗斯托夫 vs 格罗兹尼特里克,5536,-2000,0,0
1,土耳其超级联赛,2017-03-13 00:00,里泽体育 vs 安塔利亚体育,65674,47129,0,2699
1,土耳其超级联赛,2017-03-13 00:00,贝西克塔斯 vs 凯塞利体育,-62192,-27587,-2427,0
1,西班牙乙级联赛 B,2017-03-13 00:00,艾兰迪纳 vs 波若,0,0,0,120
